595 time:202.78,best fitness:-12.438095510658433
596 time:201.13,best fitness:-11.670633220854421
597 time:199.94,best fitness:-12.536364810948742
598 time:204.74,best fitness:-12.168265293388103
599 time:200.82,best fitness:-11.868522317352571
600 time:219.89,best fitness:-11.80706333014236
601 time:216.76,best fitness:-11.842859284806366
602 time:200.37,best fitness:-11.292388310824554
603 time:200.46,best fitness:-11.135395816431616
604 time:201.48,best fitness:-11.463515479042792
605 time:246.2,best fitness:-11.781388279978975
606 time:228.61,best fitness:-11.504680056062382
607 time:215.41,best fitness:-11.774215645046633
608 time:206.53,best fitness:-11.43754533745941
609 time:200.8,best fitness:-11.476603276756997
610 time:246.13,best fitness:-11.634763133231651
611 time:227.05,best fitness:-12.18517088033274
612 time:201.47,best fitness:-11.378862859249983
613 time:198.96,best fitness:-11.554129319849244
614 time:137.84,best fitness:-12.04221690964325
615 time:110.19,best fitness:-11.809257195560463
616 time:110.88,best fitness:-11.171785527523738
617 time:109.31,best fitness:-11.300818443699825
618 time:113.76,best fitness:-11.83768360178486
619 time:111.2,best fitness:-11.54902856641283
620 time:107.98,best fitness:-12.261453722037563
621 time:111.04,best fitness:-11.705475988787946
622 time:106.63,best fitness:-11.589471438118723
623 time:111.42,best fitness:-13.076724117161397
624 time:127.54,best fitness:-12.086601788461309
625 time:124.54,best fitness:-11.963498125937216
626 time:109.68,best fitness:-11.885689544840247
627 time:105.8,best fitness:-11.453396551352698
628 time:102.93,best fitness:-11.134677693534632
629 time:98.46,best fitness:-11.017534222920512
630 time:98.92,best fitness:-11.614319009750261
631 time:99.81,best fitness:-12.119241851143459
632 time:106.63,best fitness:-11.746457746568813
633 time:108.37,best fitness:-11.798208819669616
634 time:112.46,best fitness:-11.941945370339695
635 time:111.66,best fitness:-11.685159555889909
